character,text,goodness,priority,if_dead
albus dumbledore,"Excellent! we now have our three champions! But in the end only one will go down in history. Only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!
Harry Potter. Harry Potter?
Harry Potter!",Good,2,Dead
albus dumbledore,"Harry! Did you put your name in the goblet of fire?
Did you ask one of the older students to do it for you?
You're absolutely sure?",Good,2,Dead
albus dumbledore,"That doesn't help Alastor. Leave this to you Barty.
What do you suggest Minerva?
You heard Barty the rules are clear.",Good,2,Dead
albus dumbledore,"I agree with Severus. Alastor, keep an eye on Harry will you?
Don't let him know though, he must be anxious enough as it is... knowing what lies ahead. Then again, we all are.
Good day champions. Gather round please. Now you've waited, you've wondered and at last the moment has arrived. The moment only four of you can fully appreciate.",Good,2,Dead
albus dumbledore,"What are you doing here Miss Granger?
Barty. The bag.
Very well. Good luck champions. Mr Diggory the sound of the cannon...",Good,2,Dead
albus dumbledore,"Three of our champions have now faced their dragons and so each one of them will proceed to the next task. And now our fourth and final contestant.
Welcome to the second task. Last night something was stolen from each of our champions. A treasure of sorts. These four treasures, one for each champion, now lie on the bottom of the black lake. In order to win each champion need only find their treasure and return to the surface. Simple enough. Except for this, they will have one hour to do so and one hour only. After that they'll be on their own.
You may begin at the start of the cannon.",Good,2,Dead
albus dumbledore,"The Beauxbatons champion Miss Delacour has unfortunately been forced to retire. She will take no further part in this task.
Harry!
I want all the judges over here now.",Good,2,Dead
albus dumbledore,"Attention! Attention! The winner is... Mr Diggory!
For showing unique command of the bubblehead shark. The way I see it, Mr Potter would have finished first had it not been for his determination to rescue not only Mr Weasly but the others as well. We've agreed to award him second place! For outstanding moral fibre.
A man has died here. And he won't be the last, you must take action.",Good,2,Dead
albus dumbledore,"Then for once show them some.
But surely that is what's right, no matter what others think.
Oh not necessary Harry the minister and I are done. I'll be back in a moment. Minister, after you. Harry do feel free to indulge in a liquorice snack in my absence, but I have to warn you they're a little bit sharp.",Good,2,Dead
albus dumbledore,"The counsel is very much aware you have given evidence on this matter. Severus Snape was indeed a deatheater and prior to Lord Voldemort's downfall turned spy for us at great personal risk. Today he's no more a deatheater than I am.
Curiosity's not a sin Harry, but you should exercise caution. It's a pensieve, useful if like me you find your mind a wee bit stretched. It allows me to see what small things I've already seen. You see Harry I've searched and searched for something, some small detail. Something I might have overlooked, something that would explain why these terrible things have happened. Every time I get close to an answer it slips away, it's maddedning.
He was sent to Azkaban. Destroyed Barty to do it. But he had no choice, the evidence was overwhelming. Why do you ask?",Good,2,Dead
albus dumbledore,"Have there been other dreams like this?
I think it's unwise for you to linger over these dreams Harry, I think it's best that you simply...
Cast them away.",Good,2,Dead
albus dumbledore,"Earlier today Professor Moody placed the tri-wizards cup deep within the maze. Only he knows its exact position. Now as Mr Diggory...
and Mr Potter tied for first position they will be the first to enter the maze. Followed by Mr Krum...
The first person to touch the cup will be the winner. I've instructed the staff to patrol the perimeter, if at any point should a contestant wish to withdraw from the task he or she need only send up red sparks with their wands. Contestants, gather round.",Good,2,Dead
albus dumbledore,"In the maze you'll find not dragons or creatures of the deep. Instead you'll face something more challenging. You see, people change in the maze. Oh find the cup if you can, but be very weary you could just lose yourselves along the way.
On the count of three... ONE...
Harry! Harry!",Good,2,Dead
albus dumbledore,"Tell me what happened!
It's alright Harry. It's alright, he's home, you both are.
Severus...",Good,2,Dead
albus dumbledore,"Do you know who I am?
Are you Alastor Moody? Are ya?
Is he in this room? Is he in this room?",Good,2,Dead
albus dumbledore,"Harry get away from there!
Are you alright Alastor?
Now we know who's been stealing it from your store Severus.",Good,2,Dead
albus dumbledore,"We'll get you up in a minute.
Barty Crouch Junior.
Your arm Harry.",Good,2,Dead
albus dumbledore,"Send an owl to Azkaban, think they'll find they're missing a prisoner.
Perhaps. Personally I've never had much time for heroes.
Today we acknowledge a really terrible loss. Cedric Diggory was as you all know, exceptionally hard working, intricately fair minded. And most importantly a fierce fierce friend. I think therefore you have the right to know exactly how he died. You see, Cedric Diggory was murdered by Lord Voldemort. The ministry of magic does not wish me to tell you this. But not to do so I think would be an insult to his memory. Now the pain we all feel at this dreadful loss reminds me, reminds us that while we may come from different places and speak in different tongues, our hearts beat as one. In light of recent events the bonds of friendship we made this year will be more important than ever. Remember that and Cedric Diggory will not have died in vain, you remember that. And we'll celebrate a boy who was kind and honest and brave and true right to the very end.",Good,2,Dead
albus dumbledore,"I never liked these curtains. Set them on fire in my fourth year, by accident of course. I put you in terrible danger this year Harry I'm sorry.
Priori Incantatem. You saw your parents that night didn't you? They reappeared.
No spell can reawaken the dead Harry I trust you know that. Dark and diffiult times lie ahead. Soon we must all face the choice between what is right what is easy. But remember this, you have friends here. You're not alone.",Good,2,Dead
albus dumbledore,"Witness for the Defence, Albus Percival Wulfric Brian Dumbledore.
Only if the Dementors are still taking their orders from only the Ministry these days. I believe you know my views on this, Cornelius.
Excellent.",Good,2,Dead
albus dumbledore,"I beg a few moments of your attention, as I have a few start of term announcements. Right off, our caretaker, the good Mr. Filch, has reminded me for what he says is the four-hundred and sixty-second time that he had an annually updated list of various banned items, usually introduced by our humour experts Fred and George Weasley...
... which are posted in an extensive list on the door to Mr. Filch's door.
Also, we have two staffing changes this year. Professor Grubby-Plank will be taking the post of Care of Magical Creatures post as Professor Hagrid is on...extended leave.",Good,2,Dead
albus dumbledore,"Additionally, we have Professor Umbridge, who has kindly agreed to fill the post of Defense Against the Dark Arts-—
Professor McGonagall, and...ah...
What can I do for you?",Good,2,Dead
albus dumbledore,"How did you see this? How were you positioned when you saw it?
Is Arthur seriously injured?
You were listening?",Good,2,Dead
albus dumbledore,"Raise the alarm. We must make sure Arthur is found by the right people.
Many of our previous headmasters and mistresses have portraits in other institutions, allowing them to move between them.
Fawkes, we will need a warning.",Good,2,Dead
albus dumbledore,"Naturally, naturally.
What news?
Good.",Good,2,Dead
albus dumbledore,"Minerva, the rest of the Weasleys will need to be awoken.
Phineas.
Phineas, I need you to visit your other portrait. Tell Sirius what happened and that we are coming to stay for a while.",Good,2,Dead
albus dumbledore,"Oh, I agree with you, Professor Umbridge. You do have the power to dismiss my teachers. However...
-..-You cannot send them from this
Happily, that will not be necessary. I have found a successor",Good,2,Dead
albus dumbledore,"...the Ministry can only appoint new teachers if I cannot find one. I think you will find him suitable enough.
This is Firenze.
I'm not sure that's true, Professor.",Good,2,Dead
albus dumbledore,"In point of fact, when young Potter met those students it was not illegal.
Again, quite correct. However, I wonder if you have any evidence that proves this group has been meeting since then?
Correct again. I must confess that I was, however, under the impression that this young girl only told you a meeting was going on tonight.",Good,2,Dead
albus dumbledore,"Again, I cannot have you manhandling my students, Professor Umbridge.
Well, Minister. You've caught me.
Quite correct, Cornelius.",Good,2,Dead
albus dumbledore,"Quiet, Harry!
Ah, yes. I was wondering when we'd hit that little snag.
But I do. You seem to be laboring under the delusion that I would 'come quietly.'",Good,2,Dead
albus dumbledore,"Naturally. All of you did rather well on your spellwork at this school, but if you attempt to take me in by force, I'm afraid I shall have to hurt you.
Are you all right?
I'm not going into hiding. Fudge will soon regret removing me from Hogwarts.",Good,2,Dead
albus dumbledore,"It's fine. Now listen to me, Harry. Keep studying Occlumency! Do everything Professor Snape tells you.
Close your mind! You will understand, in time. Fudge is stirring.
Lay back down. They must not think we have had time to talk.",Good,2,Dead
albus dumbledore,"You should not have come here tonight, Tom.
There are other ways to destroy a man, Tom.
You are quite wrong, Tom, as you have always been.",Good,2,Dead
albus dumbledore,"Stay where you are, Harry!
Harry!
Are you all right, Harry?",Good,2,Dead
albus dumbledore,"If you and your men will proceed to the Death Room, you will find several Death Eaters which I and some others have apprehended.
Minister, you have just seen You- Know-Who in the flesh only seconds ago! It is time to come to your senses!
If you insist on trying to arrest me, I am perfectly willing demonstrate how useless such an attempt will be.",Good,2,Dead
albus dumbledore,"I will explain everything, Minister. Just as soon as I return Harry to school.
Minister, you will order the removal of Dolores Umbridge from my school.
All Educational Decrees will be nullified and you will call off the search on Hagrid so he can return to work.",Good,2,Dead
albus dumbledore,"I will return here later tonight, after I have seen to Harry. It should not take long. He taps the Golden centaur head.
Portus.
The Second War has begun, Minister.",Good,2,Dead
albus dumbledore,"Thank you...
Please sit, Harry.
I understand how you feel, Harry--",Good,2,Dead
albus dumbledore,"You forget that Sirius was my friend too. You are not the only person on this earth capable of feelings, Harry.
There is no shame in feeling pain, Harry. It is your greatest strength...
What can't I know?",Good,2,Dead
albus dumbledore,"This pain is part of being human, Harry...
You do care. You care so much you feel like you will bleed to death because of it.
No.",Good,2,Dead
albus dumbledore,"I daresay I can. And if you actually do attack me with that wand, Harry, I'm afraid to say you will regret it.
It is my fault Sirius died tonight.
Harry, I owe you this explanation, to show you the failings of an old man.",Good,2,Dead
albus dumbledore,"Haven't you wondered why I haven't spoken to you, even looked at you, for months?
Sirius told me you believed there was a snake inside of you. This was Voldemort attempting to manipulate you. To protect you from this, I had you study Occlumency.
Yes. I thought he could overcome his feelings towards your father, but I was wrong. Some wounds cut too deep to be healed.",Good,2,Dead
albus dumbledore,"I would trust Severus Snape with my life, Harry. You have never recovered from your mistrust of him in your first year.
Again, some wounds run too deep to be healed, Harry. Severus and Sirius never liked each other at school. This has never changed.
During your Occulumency lessons, Professor Snape discovered that you were dreaming about the door in the Department of Mysteries.",Good,2,Dead
albus dumbledore,"Yes. Voldemort has been obsessed with hearing that prophesy since he returned. Because of your scar, what he was obsessed with, you were obsessed with, in the form of dreams.
Once he discovered the connection, Voldemort had little difficulty in manipulating you into thinking he had captured Sirius.
Kreacher lied. He wanted you to go to the Department of Mysteries.",Good,2,Dead
albus dumbledore,"Kreacher has been serving two masters for some months now.
Ah. Apparently Kreacher had injured Buckbeak to distract him in case you tried to contact Headquarters.
Sirius was tending to the wounds when you called.",Good,2,Dead
albus dumbledore,"She was quite right, Harry. Kreacher is what wizards have made him. He is to be pitied, not hated.
He didn't hate Kreacher himself. Kreacher was a reminder to Sirius of the home he had always hated.
I was trying to save his life!",Good,2,Dead
albus dumbledore,"I also knew that Voldemort would return one day. I played to his weakness. There is an ancient magic which Voldemort has always underestimated.
This magic is what your mother gave you when she died. That protection would only work, however, if you were cared for by a blood relative. Your Aunt, Petunia.
Perhaps not. But she took you in, however grudgingly. As long as you can call your Aunt's house your home, you are protected.",Good,2,Dead
albus dumbledore,"And now we come to the moment of terrible truth, the moment I have dreaded for fifteen years. The moment when I must lay another burden atop your already straining shoulders.
Do you remember your first year here? When you lay in the hospital wing fresh from your confrontation with Voldemort?
Do you remember what you asked me that night?",Good,2,Dead
albus dumbledore,"You have no idea the pain it causes me to tell it to you, even now. But unfortunately, I must.
An excellent question, Harry. The answer lies in the prophesy.
That was not the only place the Prophesy is preserved.",Good,2,Dead
albus dumbledore,"Interestingly, there were two boys whom the prophesy could have been referring to. You and Neville Longbottom.
Voldemort had an informant listening to my meeting with Professor Trelawney. Fortunately he was discovered before he could hear the entire prophesy. Voldemort had to act immediately, he didn't know the rest of the prophesy. All he knew was that he had to destroy the child who would grow to be a threat to his power.
There is a room in the Department of Mysteries which is kept locked at all times. It contains a force so wonderful and yet terrible that it is greater than death itself. It is that power which you have incredible amounts of and of which Voldemort has none.",Good,2,Dead
albus dumbledore,"There is only the end of the prophesy which we haven't addressed. It states ""neither can live while the other survives.""
It is the final burden which I must place on you, Harry.
Yes.",Good,2,Dead
albus dumbledore,"I once knew a Muggle girl from Liverpool with hair like spun silk.  No light could resist it...
Rather unpleasant to behold, isn't it?  The tale is thrilling if I do say so myself, but I'm afraid now is not the time to tell it.  Take my arm.
Indeed.  And quite successfully I might add.  Most people vomit their first time.",Good,2,Dead
albus dumbledore,"Welcome to the charming village of Budleigh Babberton, Harry.  I assume right about now you're wondering why I've brought you here, am I right?
Wand out, Harry.
Lumos...",Good,2,Dead
albus dumbledore,"Horace!
I must say, you make a very convincing armchair, Horace.
Dragon's blood.",Good,2,Dead
albus dumbledore,"Ah yes.  Introductions.  Harry, this is an old friend and colleague of mine, Horace Slughorn.  Horace, this is, well, you know who this is. Apparently there's some thought he may be the Chosen One.
So why all the theatrics, Horace? You weren't perhaps expecting someone else, were you?
Take matters into their own hands?",Good,2,Dead
albus dumbledore,"Well, I think it should be put back in order for them, don't you? Mind?
That was fun.  May I use the loo?
Mind if I take this?  I do love knitting patterns.",Good,2,Dead
albus dumbledore,"I think I know a lost cause when I see one.  Regrettable.  I would have considered it a personal triumph had you consented to return to Hogwarts, Horace.  You are, like my friend Mr. Potter -- one of a kind.
Indeed they are.
You are talented, famous and powerful -- everything Horace values.  Professor Slughorn is going to try to collect you, Harry.  You would be his crowning jewel.  That is why he is returning to Hogwarts.  And it is crucial he return...",Good,2,Dead
albus dumbledore,"I fear I may have stolen a wondrous night from you, Harry. She was, truthfully, very pretty. The girl.
You'll not be going back to Little Whinging tonight, Harry.
Both are waiting for you.",Good,2,Dead
albus dumbledore,"The very best of evenings to you! First off, please join me in welcoming the newest member of our staff, Horace Slughorn.
Professor Slughorn, I'm happy to say, has agreed to resume his old post of Potions master.  Meanwhile the post of Defense Against the Dark Arts will be assumed by Professor Snape.
Now, as you know, each and every one of you was searched upon your arrival tonight.  You have a right to know why.",Good,2,Dead
albus dumbledore,"Once there was a young man who, like you, sat in this very Hall. Walked this castle's corridors. Slept beneath its roof.  He seemed, to all the world, a student like any other.  His name? Tom Riddle. The Hall goes utterly silent.
Today, of course, the world knows him by another name.  Which is why, as I stand looking out upon you all tonight, I am reminded of a sobering fact.  Each day, every hour, this very minute perhaps, dark forces attempt to penetrate this castle.  But in the end, their greatest weapon remains... you.
Just something to keep in mind. Now, off to bed.  Pip pip!",Good,2,Dead
albus dumbledore,"Good evening, Harry.  You got my message, I see.  Come, come.  Sit.
So.  How are you?
Enjoying your classes?  Professor Slughorn, for one, is most impressed with you.",Good,2,Dead
albus dumbledore,"Do you?
And what of your activities outside the classroom?  Do they bring you satisfaction?
I notice you spend a great deal of time with Miss Granger.  One can't help but wonder if --",Good,2,Dead
albus dumbledore,"Forgive me, Harry, I...
... I was merely curious. In any event, I'm sure you're wondering why I've summoned you here tonight.  The answer lies here.
What you see before you are memories.  In this case pertaining to one individual:  Voldemort.  Or as he was known then... Tom Riddle.",Good,2,Dead
albus dumbledore,"This vial contains a most particular memory -- of the day I first met him.  I'd like you to see it.  If you would...
I am not family.  But his name has been known to me since birth.
Perhaps you could give me an example.",Good,2,Dead
albus dumbledore,"How do you do, Tom.
As you wish.
No.  I am a Professor.",Good,2,Dead
albus dumbledore,"Perhaps they're right.
Hogwarts is not a place for mad people.
It's a school.  A school of... magic.",Good,2,Dead
albus dumbledore,"You can do things, can't you, Tom? Things the other children can't.
Tell me some of the things you can do, Tom.
I'm like you, Tom.  Different.",Good,2,Dead
albus dumbledore,"I think there is something trying to get out of your wardrobe, Tom. Open it.  Open.  It.
Take it out.
Is there anything in that box you ought not to have?",Good,2,Dead
albus dumbledore,"Why did you want these things, Tom?
Thievery is not tolerated at Hogwarts.  At Hogwarts, you will be taught not only how to use magic, but to control it. Understood? I'll be going now, Tom.  Leave your window open tonight.  An owl will bring you a message.  Read it carefully.
It is unusual.  But not unheard of.",Good,2,Dead
albus dumbledore,"Did I know that I had just met the most dangerous Dark Wizard of all time?  No.  Had I...
Over time, while here at Hogwarts, Tom Riddle grew close to one particular teacher.  Can you guess which teacher that might be?
No.  I did not.  You see, Professor Slughorn possesses something I desire very dearly. And he will not part with it easily... I'd rather not divulge any more just yet, Harry.  But I promise. In time you will know everything.",Good,2,Dead
albus dumbledore,"I did.
Yes.
Confused?  I would be surprised if you weren't.",Good,2,Dead
albus dumbledore,"This is perhaps the most important memory I've collected.  It's also a lie. This memory has been tampered with.  In this case by the person whose memory it is, our friend Professor Slughorn.
I suspect he is ashamed of it.
Why indeed.",Good,2,Dead
albus dumbledore,"I asked you to get to know Professor Slughorn and you've done so.
Now I want you to persuade him to divulge his true memory.  Any way you can.
You're the Chosen One, Harry.  And Horace is, at heart, a decent man. Provide the proper circumstances and he will confess his sins.",Good,2,Dead
albus dumbledore,"This memory is everything, Harry. Without it, we are blind. Without it, we leave the fate of our world to chance.  You have no choice. You must not fail.
Quick thinking on your part, Harry.  Using a Bezoar.  You must be very proud of your student, eh, Horace?
Why indeed.",Good,2,Dead
albus dumbledore,"This appears to be a gift, Horace. You don't by chance remember who gave you this bottle, do you -- which by the way possesses remarkably subtle hints of licorice and cherry when not polluted with poison.
To whom might I ask?
Ah, to be young and feel love's keen sting.  Come, everyone, I think Mr. Weasley is well tended.",Good,2,Dead
